site,time,warning,riskLevelLabel
ukc1101-06000,2022-04-28,Pollution RIsk Forecasts will start soon,normal
ukc1101-06000,2022-04-29,Pollution RIsk Forecasts will start soon,normal
ukc1101-06000,2022-04-30,Pollution RIsk Forecasts will start soon,normal
ukc1101-06000,2022-05-04,No warnings in place,normal
ukc1101-06000,2022-05-05,No warnings in place,normal
ukc1101-06000,2022-05-06,No warnings in place,normal
ukc1101-06000,2022-05-07,No warnings in place,normal
ukc1101-06000,2022-05-08,No warnings in place,normal
ukc1101-06000,2022-05-09,No warnings in place,normal
ukc1101-06000,2022-05-10,No warnings in place,normal
ukc1101-06000,2022-05-11,No warnings in place,normal
ukc1101-06000,2022-05-12,No warnings in place,normal
ukc1101-06000,2022-05-13,No warnings in place,normal
ukc1101-06000,2022-05-14,No warnings in place,normal
ukc1101-06000,2022-05-15,No warnings in place,normal
ukc1101-06000,2022-05-16,Advice against bathing: pollution risk warning,increased
ukc1101-06000,2022-05-17,No warnings in place,normal
ukc1101-06000,2022-05-18,No warnings in place,normal
ukc1101-06000,2022-05-19,No warnings in place,normal
ukc1101-06000,2022-05-20,No warnings in place,normal
ukc1101-06000,2022-05-21,No warnings in place,normal
ukc1101-06000,2022-05-22,No warnings in place,normal
ukc1101-06000,2022-05-23,No warnings in place,normal
ukc1101-06000,2022-05-24,No warnings in place,normal
ukc1101-06000,2022-05-25,No warnings in place,normal
ukc1101-06000,2022-05-26,No warnings in place,normal
ukc1101-06000,2022-05-27,No warnings in place,normal
ukc1101-06000,2022-05-28,No warnings in place,normal
ukc1101-06000,2022-05-29,No warnings in place,normal
ukc1101-06000,2022-05-30,No warnings in place,normal
ukc1101-06000,2022-05-31,No warnings in place,normal
ukc1101-06000,2022-06-01,No warnings in place,normal
ukc1101-06000,2022-06-02,No warnings in place,normal
ukc1101-06000,2022-06-03,No warnings in place,normal
ukc1101-06000,2022-06-04,No warnings in place,normal
ukc1101-06000,2022-06-05,No warnings in place,normal
ukc1101-06000,2022-06-06,Advice against bathing: pollution risk warning,increased
ukc1101-06000,2022-06-07,No warnings in place,normal
ukc1101-06000,2022-06-08,Advice against bathing: pollution risk warning,increased
ukc1101-06000,2022-06-09,No warnings in place,normal
ukc1101-06000,2022-06-10,No warnings in place,normal
ukc1101-06000,2022-06-11,No warnings in place,normal
ukc1101-06000,2022-06-12,No warnings in place,normal
ukc1101-06000,2022-06-13,No warnings in place,normal
ukc1101-06000,2022-06-14,No warnings in place,normal
ukc1101-06000,2022-06-15,No warnings in place,normal
ukc1101-06000,2022-06-16,No warnings in place,normal
ukc1101-06000,2022-06-17,No warnings in place,normal
ukc1101-06000,2022-06-18,No warnings in place,normal
ukc1101-06000,2022-06-19,No warnings in place,normal
ukc1101-06000,2022-06-20,No warnings in place,normal
ukc1101-06000,2022-06-21,No warnings in place,normal
ukc1101-06000,2022-06-22,No warnings in place,normal
ukc1101-06000,2022-06-23,No warnings in place,normal
ukc1101-06000,2022-06-24,No warnings in place,normal
ukc1101-06000,2022-06-25,No warnings in place,normal
ukc1101-06000,2022-06-26,No warnings in place,normal
ukc1101-06000,2022-06-27,No warnings in place,normal
ukc1101-06000,2022-06-28,No warnings in place,normal
ukc1101-06000,2022-06-29,No warnings in place,normal
ukc1101-06000,2022-06-30,No warnings in place,normal
ukc1101-06000,2022-07-01,No warnings in place,normal
ukc1101-06000,2022-07-02,No warnings in place,normal
ukc1101-06000,2022-07-03,No warnings in place,normal
ukc1101-06000,2022-07-04,No warnings in place,normal
ukc1101-06000,2022-07-05,No warnings in place,normal
ukc1101-06000,2022-07-06,No warnings in place,normal
ukc1101-06000,2022-07-07,No warnings in place,normal
ukc1101-06000,2022-07-08,No warnings in place,normal
ukc1101-06000,2022-07-09,No warnings in place,normal
ukc1101-06000,2022-07-10,No warnings in place,normal
ukc1101-06000,2022-07-11,No warnings in place,normal
ukc1101-06000,2022-07-12,No warnings in place,normal
ukc1101-06000,2022-07-13,No warnings in place,normal
ukc1101-06000,2022-07-14,No warnings in place,normal
